"UF";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Out";"2011/Nov";"2011/Set";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";" Total"
"AL";"122322";"107600";"109644";"311714";"104264";"417826";"90409";"1252552";"272104";"107734";"103223";"88529";"124366";"112111";"129679";"348052";"143461";"456845";"142408";"141334";"472257";"128525";"128213";"108463";"117479";"97894";"119914";"315424";"122534";"382464";"130348";"453807";"111353";"123561";"143366";"125821";"145600";"139002";"133112";"136593";"141693";"162595";"131142";"162691";"130543";"129318";"133986";"111852";"170321";"152456";"169726";"155746";"166704";"167651";"166144";"216542";"163932";"159094";"146247";"114029";"140749";"126735";"139006";"181956";"273832";"367915";"401640";"244216";"206375";"162174";"149139";"118167";"163010";"150074";"228430";"164204";"154229";"132360";"162676";"153496";"222596";"160240";"215813";"275634";"158071";"126066";"186727";"162786";"181424";"134515";"172228";"232995";"2373099";"160518";"138230";"104542";"124978";"93289";"114441";"120705";"118965";"112603";"128968";"125422";"251274";"105404";"123912";"86176";"149985";"124581";"163535";"121554";"143161";"118350";"145628";"169863";"271869";"160731";"149259";"109438";"161721";"125681";"161213";"164629";"173917";"135818";"184007";"228572";"147462";"151992";"135996";"114947";"141738";"141536";"130575";"151912";"161969";"120032";"161336";"175269";"172033";"177756";"163344";"92239";"27209971"
"SE";"80380";"70184";"67263";"202086";"66214";"276580";"73825";"954000";"71955";"67233";"69733";"59319";"63584";"67200";"75675";"218450";"75362";"281280";"81219";"82765";"281668";"77242";"80511";"71483";"61364";"63402";"81410";"232711";"87347";"274088";"77905";"285670";"80433";"83185";"72640";"77618";"87854";"86468";"83571";"97751";"101468";"111205";"99983";"121934";"101438";"96634";"103404";"91720";"103835";"105377";"101487";"101401";"108072";"109186";"107856";"120480";"97974";"95883";"90910";"62519";"89898";"83207";"88519";"99513";"120220";"304622";"258148";"163842";"153214";"112034";"100751";"92485";"103653";"86180";"135980";"91300";"100379";"92415";"94793";"99968";"129198";"105844";"132716";"175684";"97211";"89128";"117555";"97962";"108315";"86518";"98301";"149725";"104764";"93485";"89610";"70279";"74255";"64057";"76252";"74385";"74046";"62862";"78789";"79006";"146445";"66878";"74407";"50416";"86816";"71368";"95922";"74121";"87493";"70428";"78465";"87610";"190029";"90343";"80554";"64543";"101967";"81977";"85538";"91294";"88229";"80807";"112735";"144764";"90263";"100097";"92158";"65903";"102526";"83179";"85848";"95396";"103439";"68847";"94788";"110549";"109721";"102830";"102750";"63335";"15857240"
"BA";"748521";"744376";"469846";"1498203";"536484";"1888523";"509206";"6660916";"718245";"523190";"471113";"1007920";"454716";"501231";"500281";"1680195";"583484";"1847484";"593539";"584192";"1829517";"506469";"529814";"494455";"431720";"580544";"592354";"1914759";"813429";"1818283";"628459";"2021335";"578586";"553539";"556932";"577105";"563224";"621598";"522007";"641718";"708980";"746097";"729272";"864849";"750430";"648829";"718965";"602894";"652023";"645895";"687892";"689593";"748587";"765228";"713117";"815343";"745318";"646764";"604763";"529335";"504457";"529088";"590328";"680636";"937986";"1535531";"2010621";"1033613";"1175609";"723822";"645779";"708298";"711727";"646982";"897982";"806532";"761320";"609132";"645768";"713556";"840491";"745428";"903974";"1056612";"588268";"566824";"727977";"647413";"722077";"563637";"597625";"1069848";"692346";"621953";"559100";"438178";"497727";"454087";"432415";"459112";"488364";"399977";"442440";"459702";"982280";"489579";"391584";"324868";"667082";"738160";"725835";"980058";"766537";"579016";"518667";"534903";"942995";"507644";"457917";"337040";"725879";"481329";"487051";"507777";"490120";"401669";"593224";"789317";"505773";"537588";"454527";"346051";"552713";"461852";"475235";"526198";"537135";"385528";"566430";"789298";"684294";"753918";"556705";"336454";"108046258"
"MG";"1883132";"886075";"671144";"2410374";"761395";"2317221";"597810";"8078823";"1312741";"672926";"662150";"3344906";"630033";"613724";"717166";"2668398";"826309";"2375441";"694741";"672065";"2187324";"633058";"1046236";"616708";"693606";"657648";"866520";"2794367";"1036498";"2344979";"820838";"2269125";"710513";"720655";"738599";"666419";"762032";"763794";"854134";"1032324";"1066514";"1115593";"884124";"973893";"813541";"835616";"770141";"718327";"939550";"823517";"929378";"836152";"1259549";"1189699";"1005867";"1235316";"795603";"811313";"764302";"676506";"753904";"721006";"788151";"1316933";"1262975";"2762896";"2478969";"1549856";"1309769";"874338";"772112";"656934";"855823";"772794";"1210087";"931057";"906918";"769794";"865642";"851121";"1221621";"862008";"1123694";"1422673";"824451";"689283";"1092930";"812452";"1231139";"871977";"856139";"1277479";"857243";"749219";"724197";"618966";"671504";"597784";"647107";"770400";"812154";"678786";"646794";"697912";"1755230";"635080";"604034";"521816";"2914616";"2398815";"2235132";"946841";"951262";"732754";"719462";"777025";"1300804";"722015";"655257";"550275";"1786511";"1149941";"972457";"953230";"986900";"846994";"1033489";"1585334";"823964";"890445";"732328";"594591";"847333";"698731";"752646";"933847";"1042488";"757639";"862703";"1041318";"1120250";"995763";"798155";"533886";"157786804"
"ES";"194801";"124255";"118820";"398326";"137485";"451737";"124486";"1586615";"126317";"111919";"107011";"96475";"121480";"106698";"129376";"426462";"142745";"436160";"140318";"124241";"412418";"114704";"120391";"105822";"106104";"99377";"170247";"439545";"166822";"416408";"135686";"403693";"127735";"144336";"134783";"134416";"140854";"129287";"138264";"146075";"176964";"183380";"168914";"181023";"143259";"140086";"157890";"136821";"169119";"147445";"171448";"153626";"211581";"227847";"200562";"219417";"148994";"156411";"155409";"128241";"148516";"125573";"129991";"191577";"205809";"394366";"599480";"226755";"267762";"168176";"156923";"136961";"177704";"154030";"225084";"182195";"173829";"156301";"197075";"188765";"248160";"181381";"205903";"322324";"162717";"135208";"212055";"152302";"201526";"171019";"181293";"220302";"182349";"158071";"132776";"112053";"124089";"107666";"130029";"142054";"141012";"146563";"154429";"175444";"273522";"125476";"134711";"116525";"564454";"717687";"1355934";"290703";"252166";"177641";"161468";"186496";"265599";"160740";"153234";"412835";"176905";"131112";"165681";"166344";"190123";"160364";"190396";"363259";"166891";"177619";"180304";"128373";"184476";"157426";"167541";"194183";"214029";"148810";"200287";"307281";"208899";"206267";"188374";"130513";"30533376"
"RJ";"722718";"489038";"452538";"1833345";"468172";"1683337";"436938";"5464403";"2305833";"1189775";"765362";"506256";"486029";"455434";"499626";"2087558";"548560";"1739459";"518918";"526157";"1701191";"429541";"491719";"441285";"452446";"396021";"472446";"1947458";"452673";"1523650";"452264";"1582008";"481307";"567160";"569562";"533850";"619477";"575243";"572153";"583744";"639334";"676479";"678226";"714801";"560680";"567265";"596251";"558891";"691191";"602171";"684105";"627509";"688870";"793110";"717727";"806936";"558723";"625462";"558513";"534905";"572959";"509565";"550368";"590944";"1474786";"1566601";"2448415";"914058";"890731";"597464";"558933";"665988";"652854";"621150";"863524";"675672";"670009";"598144";"698787";"770527";"917480";"789512";"814053";"1266177";"631261";"593623";"784384";"668243";"726308";"670869";"784586";"1109468";"691805";"649288";"613269";"537749";"564729";"448627";"575154";"593437";"562658";"610785";"636327";"630708";"1093133";"557253";"537111";"483783";"748692";"903110";"3212753";"1678508";"1281897";"971020";"994110";"831295";"1082316";"722764";"628466";"586294";"2737960";"786633";"738968";"693943";"722558";"894724";"526092";"733727";"469581";"695909";"484834";"446073";"545274";"451791";"485633";"468606";"522841";"466326";"573431";"588376";"557506";"568687";"715198";"328222";"117183180"
"SP";"2503923";"1708831";"1451486";"4765701";"1827212";"5486196";"1752540";"17949413";"1569997";"1327473";"1262275";"1185319";"1570029";"1391643";"1892648";"6012178";"2379911";"5313877";"1646326";"1559254";"4790004";"1395523";"1421096";"1268341";"1550321";"1381597";"1818434";"5532617";"2007380";"4835276";"1626144";"4828180";"1581467";"1553765";"1772546";"1543774";"1811493";"1755580";"1768870";"2051747";"2714831";"3068991";"2233442";"2218467";"1685078";"1712319";"1772434";"1548486";"2031723";"1862198";"2028092";"1913646";"2905845";"2730361";"2420873";"2666495";"1830957";"1944156";"1810348";"1540107";"1793968";"2075346";"1667806";"2313898";"2404392";"4843116";"6993115";"3361612";"4067111";"2249341";"1829937";"1676892";"2031756";"1846263";"2665728";"2349321";"2441958";"1871428";"2078950";"2106061";"2605839";"2248382";"2241169";"3624974";"1943913";"1708947";"2241756";"1979642";"2411876";"2003047";"2006800";"2598492";"2046431";"1985774";"1832304";"1562954";"1630707";"1277832";"1423987";"1468870";"1543681";"1247191";"1514037";"1593258";"3440931";"1433144";"1443437";"1261905";"2267634";"1970074";"2517585";"1969515";"2249874";"1699499";"1731916";"1784813";"3069372";"2356930";"2195140";"2173120";"4813977";"1854712";"1964611";"1807622";"2049883";"1805497";"2367778";"3076235";"1658712";"1814536";"1636340";"1400693";"1993758";"1724581";"1843941";"1952853";"2221480";"1828486";"3456743";"3783315";"2299153";"2151487";"1690105";"1236439";"338896924"
"PR";"914969";"492755";"673512";"1536054";"459226";"1227098";"318905";"4486097";"384651";"323354";"313719";"284441";"366902";"337452";"388163";"1405596";"449174";"1257067";"362237";"349497";"1234951";"369792";"375131";"323401";"348092";"340596";"435238";"1474609";"541910";"1246010";"415133";"1207714";"352343";"363959";"403895";"363184";"433299";"435436";"461650";"542124";"584602";"552076";"481204";"542936";"442794";"438050";"482578";"372618";"475529";"448377";"490309";"458500";"615755";"721056";"727383";"838796";"480531";"483875";"436520";"356229";"453368";"393866";"414815";"601313";"773736";"1348133";"1544120";"869986";"894326";"501437";"450888";"381554";"488359";"432079";"643313";"563225";"507886";"449908";"501265";"469783";"718230";"535241";"681355";"798937";"490718";"440603";"576205";"511142";"675643";"499923";"491831";"681644";"413775";"418292";"408993";"351617";"407525";"349115";"362472";"441771";"418936";"389027";"366785";"388760";"801879";"357797";"366653";"295274";"522172";"432436";"535545";"386745";"455082";"376301";"392202";"455089";"671563";"386973";"396730";"303297";"539350";"402712";"424774";"473445";"452080";"414971";"516821";"1038753";"428974";"537281";"803637";"435666";"595064";"820894";"683813";"665428";"626749";"485889";"530001";"694421";"636914";"743531";"587319";"348371";"83953550"
"SC";"282486";"208273";"193962";"667083";"293621";"678426";"218024";"2609902";"183927";"170674";"170762";"144051";"227964";"196115";"224835";"783464";"323828";"699820";"214706";"204453";"660914";"194525";"207254";"157826";"214055";"177885";"291572";"817637";"278970";"706691";"232010";"682898";"204716";"205828";"254809";"196936";"281731";"254987";"257754";"299887";"385011";"362655";"303430";"336733";"268015";"271347";"283991";"202316";"305535";"289454";"298285";"270773";"484744";"530718";"411127";"415750";"259427";"272624";"265903";"188643";"274711";"237203";"243209";"389978";"369277";"789455";"1131764";"612655";"452859";"285538";"257093";"189413";"314936";"285108";"413808";"374898";"399734";"302615";"481405";"464536";"549206";"364023";"394170";"512800";"342390";"328484";"396709";"317385";"541770";"354333";"353943";"447089";"332109";"274618";"260526";"188940";"245580";"198845";"224256";"487594";"441951";"296201";"253214";"232039";"507469";"212560";"227961";"165436";"302788";"224463";"293385";"268071";"318633";"299837";"251367";"259585";"439619";"248757";"237344";"174296";"331577";"265955";"271575";"314792";"358236";"303154";"321760";"676128";"287366";"403075";"381897";"249577";"331420";"634251";"678717";"904674";"565736";"350078";"394311";"427337";"409293";"501493";"496679";"218026";"52798790"
"RS";"412679";"338631";"298224";"1268011";"395764";"1119244";"294184";"2455944";"1274657";"540508";"343534";"917295";"940767";"607787";"479033";"2391558";"1538289";"1350963";"366274";"302535";"1016735";"297041";"300223";"295500";"271015";"258689";"308719";"1371720";"332200";"1015727";"305134";"1009148";"282288";"310131";"342119";"351874";"356969";"363906";"371554";"382832";"444672";"638554";"557882";"492630";"362806";"352006";"366646";"315632";"393587";"372908";"412639";"384828";"810393";"779681";"556967";"622867";"345232";"376086";"358721";"324781";"347193";"330706";"351944";"488157";"1060693";"1471896";"1584134";"617060";"540602";"389312";"333102";"286607";"438850";"368522";"600275";"476824";"410840";"342389";"404155";"402385";"560950";"396058";"466790";"766983";"364414";"319915";"492957";"398984";"384641";"350584";"398206";"662851";"384850";"366514";"342902";"291908";"304964";"259275";"293748";"324586";"325015";"319271";"301472";"328141";"872214";"305225";"323729";"267920";"399192";"321151";"482349";"328527";"363383";"323308";"331673";"410541";"598841";"341111";"329653";"277719";"439847";"336067";"368871";"385514";"356740";"349803";"440469";"591486";"330354";"394171";"358794";"279979";"398592";"349745";"365809";"446235";"422462";"358681";"436266";"433914";"377091";"493289";"422994";"284444";"72798701"
"MS";"718125";"253716";"140579";"298052";"160103";"375737";"106923";"851361";"432341";"101989";"96712";"74086";"113427";"92079";"112963";"311878";"168367";"373798";"114543";"104958";"332099";"97214";"102290";"77925";"100242";"83234";"120143";"319574";"147591";"339706";"110114";"334063";"101361";"106499";"118289";"96288";"137292";"122861";"126537";"135232";"157199";"156938";"142648";"172728";"130018";"133412";"149903";"100973";"150912";"130602";"152925";"135288";"190029";"180393";"174676";"194610";"140535";"134446";"130811";"99953";"135486";"111829";"121227";"175642";"192287";"329573";"432397";"189730";"190558";"132642";"127969";"103172";"179664";"155245";"233995";"216897";"195995";"186525";"192089";"198810";"214529";"178718";"226555";"260435";"184324";"150613";"200265";"158215";"208468";"146222";"151775";"252749";"161392";"142089";"133045";"98140";"140157";"119031";"122977";"126914";"154219";"134502";"117501";"125594";"255342";"113603";"117671";"86017";"181456";"188522";"175787";"133328";"153873";"125131";"123231";"137457";"199370";"108459";"112436";"91593";"161625";"119911";"125915";"128756";"141505";"127067";"144557";"240183";"153269";"139418";"126306";"92908";"145287";"120782";"128522";"146822";"154124";"122369";"153013";"153269";"164181";"164140";"135364";"103477";"24475497"
"MT";"245769";"336598";"253032";"341017";"180770";"451155";"178667";"1917717";"220199";"140363";"117132";"112904";"118145";"127045";"130596";"327752";"163528";"410036";"172975";"133280";"393470";"143139";"122790";"117895";"90730";"109941";"109971";"332406";"157787";"415139";"147365";"406574";"147602";"122556";"128609";"128808";"119432";"133336";"136401";"153236";"172595";"170721";"170931";"177376";"147713";"145149";"179533";"131045";"145747";"175695";"163111";"165479";"175973";"188353";"191899";"173521";"182772";"147714";"142710";"128559";"121617";"139069";"145343";"154827";"272015";"364644";"494574";"261957";"250956";"183045";"168177";"154464";"151217";"167267";"226209";"219178";"222411";"194652";"196359";"194122";"226931";"193431";"217406";"292718";"159586";"155191";"198659";"186114";"210785";"188703";"192742";"260450";"181144";"173105";"170683";"127313";"159671";"139806";"154523";"162000";"166632";"157837";"157368";"154071";"317233";"143058";"137793";"111739";"205891";"184353";"217483";"169772";"194147";"163337";"150824";"195549";"239789";"152094";"142485";"116308";"186602";"143535";"160351";"163320";"165790";"146257";"171267";"274738";"148904";"169187";"147517";"119937";"171185";"134883";"147572";"173925";"182518";"139892";"165137";"175876";"165657";"198231";"168138";"110847";"28414556"
"GO";"2537221";"675273";"273777";"653758";"272122";"856423";"293709";"1594276";"842252";"340664";"320188";"420456";"230234";"217624";"239180";"733734";"273416";"762935";"258878";"237496";"722056";"220065";"221790";"192228";"223051";"205622";"243781";"710761";"270431";"742506";"272260";"761153";"231719";"235511";"276681";"254168";"304291";"276826";"267753";"279454";"310837";"332621";"281547";"389017";"292975";"278702";"312937";"242646";"313261";"297161";"320953";"280964";"366348";"373284";"340974";"456065";"275783";"281500";"269750";"221358";"286420";"264425";"282247";"379864";"517389";"948564";"863916";"420454";"389223";"284424";"274022";"231361";"331062";"277957";"415330";"327535";"303114";"237460";"299839";"307699";"365105";"308280";"418942";"485836";"281866";"241606";"397079";"257541";"317093";"322974";"286465";"536556";"302792";"269695";"251515";"200838";"226681";"214023";"238119";"251230";"246704";"244724";"193919";"232925";"575502";"214144";"212456";"171323";"356772";"292537";"336733";"250241";"271114";"228375";"227634";"272940";"486434";"234977";"218773";"173116";"336217";"217479";"274571";"278204";"247057";"225768";"275630";"396437";"236918";"259244";"239015";"177173";"282321";"224380";"271061";"290296";"285416";"207976";"257184";"291158";"282268";"282258";"240472";"135510";"50656303"
"DF";"1517543";"134347";"110817";"267754";"121542";"325433";"113787";"1200574";"130875";"107954";"97071";"92967";"115291";"94120";"124558";"298881";"142516";"324659";"119879";"109240";"316655";"102438";"100355";"101643";"108194";"92680";"129028";"290773";"135655";"332252";"122086";"328128";"128229";"113382";"112268";"130133";"134085";"118957";"115800";"121743";"161966";"128591";"133692";"155643";"132309";"119304";"48900";"121640";"149223";"135566";"153478";"139908";"203296";"167340";"161982";"180216";"70597";"143785";"123211";"118793";"143506";"127078";"136042";"187778";"217090";"253586";"521551";"319862";"200190";"144231";"129044";"114560";"148685";"138411";"201681";"158962";"185302";"142099";"172842";"162202";"172813";"150646";"141652";"216132";"137367";"143428";"156474";"145790";"168156";"152669";"125253";"175746";"40263";"28525";"29138";"22225";"165874";"191051";"182134";"239753";"235642";"199766";"189064";"178230";"355170";"160499";"138911";"238385";"168801";"145598";"164966";"114765";"133368";"100852";"103342";"102731";"187748";"106918";"92611";"89808";"163560";"102791";"113654";"119710";"114728";"113530";"134116";"199768";"115590";"120011";"101797";"91190";"131040";"105523";"114111";"116994";"140270";"105828";"126629";"186593";"136782";"141714";"106345";"93995";"24226967"
"Total";"16113501";"8820692";"7293145";"21984034";"7930745";"25128609";"7183561";"78493152";"15036277";"7628990";"6924795";"10422006";"7545143";"6830633";"7977573";"25718559";"10132131";"24969763";"7640782";"7385839";"23724651";"6868970";"7445273";"6201848";"6620511";"6279019";"7939332";"24135594";"9151477";"23146137";"7467106";"23544588";"7236260";"7258223";"8087526";"7293206";"8118379";"8080515";"8115056";"9094299";"10498390";"11377795";"9615815";"10734797";"8421674";"8309705";"8657697";"7437264";"9395221";"8750753";"9551629";"9139609";"11959703";"12033372";"10661190";"12424674";"8659320";"8749858";"8268726";"7066281";"8008524";"7921636";"7973192";"10531166";"14040581";"24277152";"28756533";"14628368";"14595962";"9432851";"8357736";"7807991";"9347746";"8788978";"12809216";"10396595";"10025148";"8319809";"9499266";"9687712";"12249403";"9856803";"11616396";"15511446";"8847517";"7994893";"11375264";"9947022";"11472716";"9095174";"9133124";"13712915";"11443459";"8475055";"7959509";"6494502";"7437623";"6295067";"6955612";"7796793";"7943339";"7010107";"7105765";"7524859";"15737863";"6775061";"6692946";"5630387";"12055251";"10964753";"15380836";"9889329";"10053084";"7984122";"7983238";"8598929";"13906556";"8561219";"7922578";"7053727";"15256494";"8165895";"8725853";"8798227";"8892364";"8091926";"9917315";"14272071";"7854894";"8792219";"7962390";"6189305";"8891414";"8219126";"8527755";"9494044";"9621771";"7491966";"10281564";"11821364";"10018784";"10230812";"8736568";"5551530";"1554137428"
